"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"6693","Resource Teacher (2)",2025-07-04,"Teacher","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"6694","Alternative Academic-Daily Living Skills Program Teacher",2025-07-04,"Teacher","Stagecoach Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6695","Alternative Academic-Daily Living Skills Program Teacher (1)",2025-07-04,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6696","Alternative Communication Program (ACP) Teacher",2025-07-04,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6697","Head Start Part-Time Assistant Teacher",2025-07-04,"Teacher","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6698","21st Century After School and Summer Programs - Lead Teacher",2025-07-04,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6699","Elementary Special Education Classroom Teacher",2025-07-04,"Teacher","Washington Elementary School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Special Education","Special Education"
"6700","English Language Arts Teacher",2025-07-04,"Teacher","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","English Language Arts Education","English Language Arts Secondary"
"6701","Elementary Dual Immersion Teacher, 3rd Grade-Spanish Instruction",2025-07-04,"Teacher","Munger Mountain Elementary","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"6702","After School Program Teacher, Alta Elementary",2025-07-04,"Teacher","Alta Elementary School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"6703","Early Education Teacher, Ages 3-5",2025-07-04,"Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"6704","Anticipated Early Education Teacher, Birth to age 3",2025-07-04,"Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"6705","Secondary Alternative School Teacher",2025-07-04,"Teacher","Worland High School","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Uncategorized","Other"
"6706","ELEMENTARY TEACHER (SPED IDEAL)",2025-07-04,"Teacher","ASPEN ELEMENTARY","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Special Education","Special Education"
"6707","Elementary Teacher - Lincoln Elementary",2025-07-04,"Teacher","Lincoln Elementary School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Elementary Education","Elementary"
"6708","Teacher - Elementary Reading Intervention Specialist/Title I  - Lincoln Elementary",2025-07-04,"Teacher","Lincoln Elementary School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Elementary Education","Elementary"
"6709","Industrial Arts Teacher 2025-26 School Year",2025-07-04,"Teacher","Pine Bluffs Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Technical Education","CTE"
"6710","Special Education Teacher",2025-07-04,"Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Special Education","Special Education"
"6711","Foreign Language Teacher 2025-2026 school year",2025-07-04,"Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Language Education","Lanugage"
"6712","Math Teacher [TC23]",2025-07-04,"Teacher","EAST HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","STEM"
"6713","Center-Based Resource Teacher [XT20]",2025-07-04,"Teacher","DAVIS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"6714","2nd Grade Teacher [TA05]",2025-07-04,"Teacher","ANDERSON ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"6715","ESL Teacher",2025-07-04,"Teacher","PODER ACADEMY ELEMENTARY","https://laramie1.schoolspring.com/","Laramie County School District 1","Language Education","Lanugage"
"6716","Secondary Math Teacher [TC23]",2025-07-04,"Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","STEM"
"6717","Science Teacher [TC26]",2025-07-04,"Teacher","MCCORMICK JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","STEM"
"6718","Secondary Physical Science/Chemistry Teacher [TC28][TC29}",2025-07-04,"Teacher","CENTRAL HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","STEM"
"6719","Crest Hill Elementary Classroom Teacher for the 2025-26 School Year Only",2025-07-04,"Teacher","Crest Hill Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Elementary Education","Elementary"
"6720","Pineview Gifted & Talented Teacher for the 2025-2026 School Year Only",2025-07-04,"Teacher","Pineview Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Uncategorized","Other"
"6721","Special Education Teacher Beginning the 2025-2026 School Year",2025-07-04,"Teacher","Special Education Services Center","https://natronaschools.schoolspring.com/","Natrona School District 1","Special Education","Special Education"
"6722","Dean Morgan Science Teacher for the 2025-26 School Year Only",2025-07-04,"Teacher","Dean Morgan Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Science Education","STEM"
"6723","Dean Morgan Computer Science Teacher for the 2025-26 School Year Only",2025-07-04,"Teacher","Dean Morgan Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Computer Science Education","CTE"
"6724","Lincoln 5th Grade Teacher for the 2025-26 School Year Only",2025-07-04,"Teacher","Lincoln Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Elementary Education","Elementary"
"6725","KWHS - Marine Instructor (MI) OR Senior ROTC Marine Instructor (SMI)",2025-07-04,"Teacher","Kelly Walsh High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Uncategorized","Other"
"6726","Industrial Arts Teacher 2025-26 School Year",2025-07-04,"Teacher","Pine Bluffs Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","Technical Education","CTE"
"6727","Special Education Teacher",2025-07-04,"Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Special Education","Special Education"
"6728","Foreign Language Teacher 2025-2026 school year",2025-07-04,"Teacher","Burns Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","Language Education","Lanugage"
"6729","ELEMENTARY TEACHER (SPED IDEAL)",2025-07-04,"Teacher","ASPEN ELEMENTARY","https://fremont25.schoolspring.com/","Fremont County School District 25","Special Education","Special Education"
"6730","Elementary Interventionist - Specialized Populations",2025-07-04,"Teacher","Albany County School District 1","https://acsd1.schoolspring.com/","Albany Count School District 1","Elementary Education","Elementary"
"6731","High School English Teacher",2025-07-04,"Teacher","Laramie High School","https://acsd1.schoolspring.com/","Albany Count School District 1","English Language Arts Education","English Language Arts Secondary"
"6732","4th Grade Elementary Teacher",2025-07-04,"Teacher","Slade Elementary School","https://acsd1.schoolspring.com/","Albany Count School District 1","Elementary Education","Elementary"
"6733","5th Grade Elementary Teacher",2025-07-04,"Teacher","Spring Creek Elementary School","https://acsd1.schoolspring.com/","Albany Count School District 1","Elementary Education","Elementary"
"6734","High School Math Teacher",2025-07-04,"Teacher","Laramie High School","https://acsd1.schoolspring.com/","Albany Count School District 1","Mathematics Education","STEM"
"6735","Elementary Dual Language Immersion Teacher",2025-07-04,"Teacher","Slade Elementary School","https://acsd1.schoolspring.com/","Albany Count School District 1","Elementary Education","Elementary"
"6736","Title I Teacher Assistant",2025-07-04,"Teacher","CONESTOGA ELEMENTARY","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Uncategorized","Other"
"6737","Fourth Grade Teacher",2025-07-04,"Teacher","SUNFLOWER ELEMENTARY","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Elementary Education","Elementary"
"6738","Reading Recovery Teacher",2025-07-04,"Teacher","COTTONWOOD ELEMENTARY","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Uncategorized","Other"
"6739","Instructional Teacher Assistant",2025-07-04,"Teacher","STOCKTRAIL ELEMENTARY","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Uncategorized","Other"
"6740","Title I Teacher Assistant",2025-07-04,"Teacher","PRAIRIE WIND ELEMENTARY","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Uncategorized","Other"
"6741","Elementary Instrumental Music Teacher",2025-07-04,"Teacher","PRONGHORN ELEMENTARY","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Elementary Education","Elementary"
"6742","Teacher for the Deaf and Hard of Hearing",2025-07-04,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Special Education","Special Education"
"6743","Title 1 Teacher",2025-07-04,"Teacher","District","https://www.park16.k12.wy.us/43965_1","Park County School District 16","Uncategorized","Other"
"6744","Special Education Teacher",2025-07-04,"Teacher","Wheatland Middle School","https://www.platte1.org/377683_4","Platte County School District 1","Special Education","Special Education"
"6745","5th Grade Teacher",2025-07-04,"Teacher","District","https://www.guernseysunrise.org/page/employment","Platte County School District 2","Elementary Education","Elementary"
"6746","K-12 Special Education Teacher (Open Unitl Filled)",2025-07-04,"Teacher","District","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","Uinta County School District 4","Special Education","Special Education"
"6747","Part-Time Business and Computer Teacher",2025-07-04,"Teacher","District","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","Uinta County School District 4","Business and Economics","CTE"
"6748","K-12 Music Teacher",2025-07-04,"Teacher","District","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","Uinta County School District 4","Music Education","Music"
"6749","Elementary Teacher Position",2025-07-04,"Teacher","District","https://www.wcsd1.org/apps/pages/Career_Opportunities","Weston County School District 1","Elementary Education","Elementary"
"6750","One Year Elementary Teacher Position",2025-07-04,"Teacher","District","https://www.wcsd1.org/apps/pages/Career_Opportunities","Weston County School District 1","Elementary Education","Elementary"
"6751","Special Ed. Teacher position",2025-07-04,"Teacher","District","https://www.wcsd1.org/apps/pages/Career_Opportunities","Weston County School District 1","Uncategorized","Other"
"6752","Special Education MS/HS Life Skills Teacher - RMMHS",2025-07-11,"Teacher","Rocky Mountain Middle/High School","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","Special Education","Special Education"
"6753","Elementary School Special Education Teacher",2025-07-11,"Teacher","Greybull Elementary School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Special Education","Special Education"
"6754","CTE Woods/CAD Teacher",2025-07-11,"Teacher","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Technical Education","CTE"
"6755","Math Teach",2025-07-11,"Teacher","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Mathematics Education","STEM"
"6756","STEM Teacher",2025-07-11,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","STEM Teacher","STEM"
"6757","Daycare Lead Teacher",2025-07-11,"Teacher","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Uncategorized","Other"
"6758","Elementary Teacher",2025-07-11,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Elementary Education","Elementary"
"6759","Science Teacher",2025-07-11,"Teacher","Victory High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Science Education","STEM"
"6760","Automotive Teacher",2025-07-11,"Teacher","Carbon County Higher Education Center","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Technical Education","CTE"
"6761","ESL/ELL Teacher",2025-07-11,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Language Education","Lanugage"
"6762","Language Arts Teacher",2025-07-11,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","English Language Arts Education","English Language Arts Secondary"
"6763","Special Education Teacher",2025-07-11,"Teacher","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"6764","Special Education Teacher",2025-07-11,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"6765","Special Ed. Teacher (High Needs)",2025-07-11,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Uncategorized","Other"
"6766","Music Teacher",2025-07-11,"Teacher","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Music Education","Music"
"6767","6-12 Band Teacher",2025-07-11,"Teacher","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Music Education","Music"
"6768","PE/Health Teacher",2025-07-11,"Teacher","Encampment K-12","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Physical Education","Physical Education"
"6769","Physical Education/Health Teacher (Grades 7-12)",2025-07-11,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Physical Education","Physical Education"
"6770","DMS Special Education Teacher",2025-07-11,"Teacher","Douglas Middle School","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Special Education","Special Education"
"6771","K-12 Music Teacher",2025-07-11,"Teacher","Hulett K-12","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Music Education","Music"
"6772","Special Education Teacher - Elementary level",2025-07-11,"Teacher","Gannett Peak Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Special Education","Special Education"
"6773","Media Center Assistant",2025-07-11,"Teacher","Lander Valley High School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Uncategorized","Other"
"6774","Music Teacher",2025-07-11,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"6775","Music Teacher",2025-07-11,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"6776","Elementary Teacher",2025-07-11,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Elementary Education","Elementary"
"6777","High School Math Teacher",2025-07-11,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Mathematics Education","STEM"
"6778","Special Education Teacher",2025-07-11,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"6779","Special Education Teacher",2025-07-11,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"6780","Secondary English Teacher",2025-07-11,"Teacher","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","English Language Arts Education","English Language Arts Secondary"
"6781","CTE/Industrial Arts Teacher",2025-07-11,"Teacher","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Technical Education","CTE"
"6782","K-12 Special Education Teacher",2025-07-11,"Teacher","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Special Education","Special Education"
"6783","Math Teacher",2025-07-11,"Teacher","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Mathematics Education","STEM"
"6784","Art Teacher K-3",2025-07-11,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Art Teacher","Art"
"6785","Elementary Teacher 5th Grade",2025-07-11,"Teacher","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"6786","Elementary Teacher 3rd Grade",2025-07-11,"Teacher","Desert View Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"6787","Elementary Teacher - 6th Grade",2025-07-11,"Teacher","Eastside Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"6788","Elementary Teacher 3rd Grade",2025-07-11,"Teacher","Sage Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"6789","EL Teacher",2025-07-11,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6790","Family and Consumer Science Teacher",2025-07-11,"Teacher","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Family and Consumer Science","CTE"
"6791","JROTC Army Non-Senior Military Instructor",2025-07-11,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6792","Library Media Specialist K-3 (Stagecoach and Wamsutter)",2025-07-11,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6793","Library Media Specialist K-3 (Desert View and North Park Elementary)",2025-07-11,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"6794","Math Teacher (2)",2025-07-11,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Mathematics Education","STEM"
"6795","Band Teacher - Pilot Butte and Eastside Elementary",2025-07-11,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Elementary Education","Elementary"
"6796","Music Teacher 4-6",2025-07-11,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"6797","Music Teacher K-3 (4) Part-Time or Full-Time",2025-07-11,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"6798","Preschool Teacher - Grant Funded - OYO",2025-07-11,"Teacher","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Early Childhood Education","Early Childhood"
"6799","Preschool Teacher",2025-07-11,"Teacher","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Early Childhood Education","Early Childhood"
"6800","Resource Teacher",2025-07-11,"Teacher","Desert Elementary (Wamsutter)","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"6801","Special Education - Resource Teacher (2)",2025-07-11,"Teacher","Eastside Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"6802","Resource Teacher",2025-07-11,"Teacher","Stagecoach Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"6803","Resource Teacher (2)",2025-07-11,"Teacher","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"6804","Resource Teacher",2025-07-11,"Teacher","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"6805","Resource Teacher (2)",2025-07-11,"Teacher","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"6806","Resource Teacher (3)",2025-07-11,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"6807","Alternative Academic-Daily Living Skills Program Teacher (1)",2025-07-11,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6808","Alternative Academic-Daily Living Skills Program Teacher",2025-07-11,"Teacher","Stagecoach Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6809","Alternative Communication Program (ACP) Teacher",2025-07-11,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6810","Head Start Part-Time Assistant Teacher",2025-07-11,"Teacher","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6811","21st Century After School and Summer Programs - Lead Teacher",2025-07-11,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"6812","English Language Arts Teacher",2025-07-11,"Teacher","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","English Language Arts Education","English Language Arts Secondary"
"6813","Elementary Dual Immersion Teacher, 3rd Grade-Spanish Instruction",2025-07-11,"Teacher","Munger Mountain Elementary","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"6814","After School Program Teacher, Alta Elementary",2025-07-11,"Teacher","Alta Elementary School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"6815",".4 FTE Adaptive Physical Education Teacher",2025-07-11,"Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Physical Education","Physical Education"
"6816","Early Education Teacher, Ages 3-5",2025-07-11,"Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"6817","Anticipated Early Education Teacher, Birth to age 3",2025-07-11,"Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"6818","Secondary Alternative School Teacher",2025-07-11,"Teacher","Worland High School","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Uncategorized","Other"
"6819","Industrial Arts Teacher 2025-26 School Year",2025-07-11,"Teacher","Pine Bluffs Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Technical Education","CTE"
"6820","Special Education Teacher",2025-07-11,"Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Special Education","Special Education"
"6821","Foreign Language Teacher 2025-2026 school year",2025-07-11,"Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Language Education","Lanugage"
"6822","Career Technical Education Teacher: Construction [TC53]",2025-07-11,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"6823","Math Teacher [TC23]",2025-07-11,"Teacher","EAST HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","STEM"
"6824","Center-Based Resource Teacher [XT20]",2025-07-11,"Teacher","DAVIS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"6825","ESL Teacher",2025-07-11,"Teacher","PODER ACADEMY ELEMENTARY","https://laramie1.schoolspring.com/","Laramie County School District 1","Language Education","Lanugage"
"6826","Secondary Math Teacher [TC23]",2025-07-11,"Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","STEM"
"6827","Secondary Physical Science/Chemistry Teacher [TC28][TC29}",2025-07-11,"Teacher","CENTRAL HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","STEM"
"6828","KWHS - Marine Instructor (MI) OR Senior ROTC Marine Instructor (SMI)",2025-07-11,"Teacher","Kelly Walsh High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Uncategorized","Other"
"6829","Lincoln 3rd Grade Teacher for the 2025-26 School Year Only",2025-07-11,"Teacher","Lincoln Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Elementary Education","Elementary"
"6830","Crest Hill Elementary Classroom Teacher for the 2025-26 School Year Only",2025-07-11,"Teacher","Crest Hill Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Elementary Education","Elementary"
"6831","Pineview Gifted & Talented Teacher for the 2025-2026 School Year Only",2025-07-11,"Teacher","Pineview Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Uncategorized","Other"
"6832","Special Education Teacher Beginning the 2025-2026 School Year",2025-07-11,"Teacher","Special Education Services Center","https://natronaschools.schoolspring.com/","Natrona School District 1","Special Education","Special Education"
"6833","Dean Morgan Science Teacher for the 2025-26 School Year Only",2025-07-11,"Teacher","Dean Morgan Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Science Education","STEM"
"6834","Dean Morgan Computer Science Teacher for the 2025-26 School Year Only",2025-07-11,"Teacher","Dean Morgan Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Computer Science Education","CTE"
"6835","Lincoln 5th Grade Teacher for the 2025-26 School Year Only",2025-07-11,"Teacher","Lincoln Elementary","https://natronaschools.schoolspring.com/","Natrona School District 1","Elementary Education","Elementary"
"6836","Industrial Arts Teacher 2025-26 School Year",2025-07-11,"Teacher","Pine Bluffs Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","Technical Education","CTE"
"6837","Special Education Teacher",2025-07-11,"Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Special Education","Special Education"
"6838","Foreign Language Teacher 2025-2026 school year",2025-07-11,"Teacher","Burns Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","Language Education","Lanugage"
"6839","ELEMENTARY TEACHER (SPED IDEAL)",2025-07-11,"Teacher","ASPEN ELEMENTARY","https://fremont25.schoolspring.com/","Fremont County School District 25","Special Education","Special Education"
"6840","Elementary Teacher",2025-07-11,"Teacher","Rock River Elementary","https://acsd1.schoolspring.com/","Albany Count School District 1","Elementary Education","Elementary"
"6841","High School Spanish Teacher",2025-07-11,"Teacher","Rock River High School","https://acsd1.schoolspring.com/","Albany Count School District 1","Language Education","Lanugage"
