"","Category","Archive_Date","Institution","sum"
"504","Library",2024-09-06,"Total",2
"505","Library",2024-09-13,"Total",2
"506","Library",2024-09-20,"Total",2
"507","Library",2024-09-27,"Total",2
"508","Library",2024-10-04,"Total",2
"509","Library",2024-10-11,"Total",2
"510","Library",2024-10-18,"Total",3
"511","Library",2024-10-25,"Total",3
"512","Library",2024-11-01,"Total",3
"513","Library",2024-11-08,"Total",3
"514","Library",2024-11-15,"Total",1
"515","Library",2024-11-22,"Total",1
"516","Library",2024-11-29,"Total",1
"517","Library",2024-12-06,"Total",1
"518","Library",2024-12-13,"Total",1
"519","Library",2024-12-20,"Total",1
"520","Library",2024-12-27,"Total",1
"521","Library",2025-01-03,"Total",1
"522","Library",2025-01-10,"Total",1
"523","Library",2025-01-17,"Total",1
"524","Library",2025-01-24,"Total",1
"525","Library",2025-01-31,"Total",2
"526","Library",2025-02-07,"Total",2
"527","Library",2025-02-14,"Total",2
"528","Library",2025-02-21,"Total",2
"529","Library",2025-02-28,"Total",2
"530","Library",2025-03-07,"Total",2
"531","Library",2025-03-14,"Total",2
"532","Library",2025-03-21,"Total",2
"533","Library",2025-03-28,"Total",2
"534","Library",2025-04-04,"Total",1
"535","Library",2025-04-11,"Total",1
"536","Library",2025-04-18,"Total",2
"537","Library",2025-04-25,"Total",2
"538","Library",2025-05-02,"Total",2
"539","Library",2025-05-09,"Total",2
"540","Library",2025-05-16,"Total",2
"541","Library",2025-05-23,"Total",2
"542","Library",2025-05-30,"Total",1
"543","Library",2025-06-06,"Total",2
"544","Library",2025-06-13,"Total",3
"545","Library",2025-06-20,"Total",4
"546","Library",2025-06-27,"Total",5
"547","Library",2025-07-04,"Total",5
"548","Library",2025-07-11,"Total",5
"549","Library",2025-07-18,"Total",5
"550","Library",2025-07-25,"Total",5
"551","Library",2025-08-01,"Total",5
"552","Library",2025-08-08,"Total",7
"553","Library",2025-08-15,"Total",7
"554","Library",2025-08-22,"Total",7
"555","Library",2025-08-29,"Total",7
"556","Library",2025-09-05,"Total",7
"557","Library",2025-09-12,"Total",7
"558","Library",2025-09-19,"Total",5
"559","Library",2025-09-26,"Total",4
"560","Library",2025-10-03,"Total",4
"561","Library",2025-10-10,"Total",3
"562","Library",2025-10-17,"Total",3
"563","Library",2025-10-24,"Total",2
"564","Library",2025-10-31,"Total",2
"565","Library",2025-11-07,"Total",1
"566","Library",2025-12-12,"Total",1
"567","Library",2025-12-19,"Total",1
"568","Library",2025-12-26,"Total",1
"569","Library",2026-01-02,"Total",1
"570","Library",2026-01-09,"Total",1
"571","Library",2026-01-16,"Total",1
"572","Library",2026-01-23,"Total",1
"573","Library",2026-01-30,"Total",1
"574","Library",2026-02-06,"Total",1
"575","Library",2026-02-13,"Total",1
"576","Library",2026-02-20,"Total",1
"577","Library",2026-02-27,"Total",2
"578","Math",2024-08-09,"Total",1
"579","Math",2024-08-16,"Total",1
"580","Math",2024-08-23,"Total",1
"581","Math",2024-08-30,"Total",1
"582","Math",2024-09-06,"Total",1
"583","Math",2024-09-13,"Total",1
"584","Math",2024-09-20,"Total",1
"585","Math",2024-09-27,"Total",1
"586","Math",2024-10-04,"Total",1
"587","Math",2024-10-11,"Total",3
"588","Math",2024-10-18,"Total",3
"589","Math",2024-10-25,"Total",4
"590","Math",2024-11-01,"Total",4
"591","Math",2024-11-08,"Total",4
"592","Math",2024-11-15,"Total",4
"593","Math",2024-11-22,"Total",5
"594","Math",2024-11-29,"Total",5
"595","Math",2024-12-06,"Total",5
"596","Math",2024-12-13,"Total",5
"597","Math",2024-12-20,"Total",5
"598","Math",2024-12-27,"Total",5
"599","Math",2025-01-03,"Total",5
"600","Math",2025-01-10,"Total",5
"601","Math",2025-01-17,"Total",5
"602","Math",2025-01-24,"Total",5
"603","Math",2025-01-31,"Total",5
"604","Math",2025-02-07,"Total",5
"605","Math",2025-02-14,"Total",5
"606","Math",2025-02-21,"Total",5
"607","Math",2025-02-28,"Total",6
"608","Math",2025-03-07,"Total",5
"609","Math",2025-03-14,"Total",5
"610","Math",2025-03-21,"Total",5
"611","Math",2025-03-28,"Total",5
"612","Math",2025-04-04,"Total",5
"613","Math",2025-04-11,"Total",5
"614","Math",2025-04-18,"Total",5
"615","Math",2025-04-25,"Total",5
"616","Math",2025-05-02,"Total",7
"617","Math",2025-05-09,"Total",6
"618","Math",2025-05-16,"Total",5
"619","Math",2025-05-23,"Total",6
"620","Math",2025-05-30,"Total",6
"621","Math",2025-06-06,"Total",4
"622","Math",2025-06-13,"Total",4
"623","Math",2025-06-20,"Total",4
"624","Math",2025-06-27,"Total",4
"625","Math",2025-07-04,"Total",4
"626","Math",2025-07-11,"Total",4
"627","Math",2025-07-18,"Total",5
"628","Math",2025-07-25,"Total",6
"629","Math",2025-08-01,"Total",6
"630","Math",2025-08-08,"Total",6
"631","Math",2025-08-15,"Total",7
"632","Math",2025-08-22,"Total",7
"633","Math",2025-08-29,"Total",6
"634","Math",2025-09-05,"Total",7
"635","Math",2025-09-12,"Total",7
"636","Math",2025-09-19,"Total",6
"637","Math",2025-09-26,"Total",6
"638","Math",2025-10-03,"Total",6
"639","Math",2025-10-10,"Total",6
"640","Math",2025-10-17,"Total",6
"641","Math",2025-10-24,"Total",5
"642","Math",2025-10-31,"Total",5
"643","Math",2025-11-07,"Total",6
"644","Math",2025-11-14,"Total",6
"645","Math",2025-11-21,"Total",6
"646","Math",2025-11-28,"Total",6
"647","Math",2025-12-05,"Total",6
"648","Math",2025-12-12,"Total",7
"649","Math",2025-12-19,"Total",6
"650","Math",2025-12-26,"Total",6
"651","Math",2026-01-02,"Total",6
"652","Math",2026-01-09,"Total",6
"653","Math",2026-01-16,"Total",6
"654","Math",2026-01-23,"Total",5
"655","Math",2026-01-30,"Total",5
"656","Math",2026-02-06,"Total",5
"657","Math",2026-02-13,"Total",6
"658","Math",2026-02-20,"Total",6
"659","Math",2026-02-27,"Total",6
"660","Physical Education",2024-08-09,"Total",2
"661","Physical Education",2024-08-16,"Total",2
"662","Physical Education",2024-08-23,"Total",2
"663","Physical Education",2024-08-30,"Total",2
"664","Physical Education",2024-09-06,"Total",2
"665","Physical Education",2024-09-13,"Total",2
"666","Physical Education",2024-09-20,"Total",2
"667","Physical Education",2024-09-27,"Total",2
"668","Physical Education",2024-10-04,"Total",2
"669","Physical Education",2024-10-11,"Total",3
"670","Physical Education",2024-10-18,"Total",3
"671","Physical Education",2024-10-25,"Total",3
"672","Physical Education",2024-11-01,"Total",3
"673","Physical Education",2024-11-08,"Total",3
"674","Physical Education",2024-11-15,"Total",4
"675","Physical Education",2024-11-22,"Total",4
"676","Physical Education",2024-11-29,"Total",4
"677","Physical Education",2024-12-06,"Total",4
"678","Physical Education",2024-12-13,"Total",4
"679","Physical Education",2024-12-20,"Total",4
"680","Physical Education",2024-12-27,"Total",4
"681","Physical Education",2025-01-03,"Total",4
"682","Physical Education",2025-01-10,"Total",4
